Linux 3.13.0-161-generic (cp-2.shuffle-measure.wisr-pg0.apt.emulab.net) 	04/29/2020 	_x86_64_	(32 CPU)

03:23:25 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:23:26 PM     all      3.12      0.00      0.03      0.00      0.00     96.84
03:23:27 PM     all      3.12      0.00      0.03      0.00      0.00     96.84
03:23:28 PM     all      3.13      0.00      0.00      0.00      0.00     96.87
03:23:29 PM     all      3.12      0.00      0.06      0.00      0.00     96.81
03:23:30 PM     all      3.13      0.00      0.00      0.00      0.00     96.87
03:23:31 PM     all      3.12      0.00      0.03      0.09      0.00     96.75
03:23:32 PM     all      3.12      0.00      0.03      0.00      0.00     96.84
03:23:33 PM     all      3.13      0.00      0.00      0.00      0.00     96.87
03:23:34 PM     all      3.12      0.00      0.03      0.00      0.00     96.84
03:23:35 PM     all      1.16      0.00      0.00      0.00      0.00     98.84
03:23:36 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
03:23:37 PM     all      0.00      0.00      0.00      0.09      0.00     99.91
03:23:38 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
03:23:39 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
03:23:40 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
03:23:41 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
03:23:42 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
03:23:43 PM     all      0.00      0.00      0.00      0.09      0.00     99.91
03:23:44 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
03:23:45 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
03:23:46 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
03:23:47 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
03:23:48 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:23:49 PM     all      0.00      0.00      0.03      0.06      0.00     99.91
03:23:50 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
03:23:51 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:23:52 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
03:23:53 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
03:23:54 PM     all      2.57      0.00      0.44      0.00      0.00     96.99
03:23:55 PM     all      2.82      0.00      0.16      0.16      0.00     96.87
03:23:56 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
03:23:57 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:23:58 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:23:59 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:24:00 PM     all      0.00      0.00      0.00      0.19      0.00     99.81
03:24:01 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
03:24:02 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:24:03 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:24:04 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
03:24:05 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:24:06 PM     all      0.00      0.00      0.00      0.12      0.00     99.88
03:24:07 PM     all      0.00      0.00      0.00      0.16      0.00     99.84
03:24:08 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:24:09 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:24:10 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
03:24:11 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
03:24:12 PM     all      0.00      0.00      0.03      0.28      0.00     99.69
03:24:13 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:24:14 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
03:24:15 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:24:16 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:24:17 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:24:18 PM     all      0.00      0.00      0.03      0.28      0.00     99.69
03:24:19 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
03:24:20 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
